stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
13001329,,"Herjólfsbraut",,64.08481,-21.967695,,,0,,,,
13001330,,"Sjáland",,64.091666,-21.942918,,,0,,,,
13001333,,"Sjáland",,64.09182,-21.942956,,,0,,,,
13001334,,"Garðatorg",,64.08765,-21.91995,,,0,,,,
13001335,,"Vídalínskirkja",,64.086336,-21.915694,,,0,,,,
13001336,,"Sjávargrund",,64.092021,-21.929626,,,0,,,,
13001337,,"Asparlundur",,64.084208,-21.904143,,,0,,,,
13001339,,"Asparlundur",,64.084172,-21.902866,,,0,,,,
13001343,,"Suðurhraun",,64.077767,-21.926526,,,0,,,,
13001344,,"Austurhraun",,64.076161,-21.922743,,,0,,,,
13001345,,"Miðhraun",,64.076783,-21.918972,,,0,,,,
13001346,,"Hraun",,64.078026,-21.914426,,,0,,,,
13001347,,"Hraun",,64.078047,-21.914549,,,0,,,,
13001348,,"Miðhraun",,64.076844,-21.919126,,,0,,,,
13001349,,"Austurhraun",,64.076222,-21.922933,,,0,,,,
13001350,,"Suðurhraun",,64.077831,-21.926387,,,0,,,,
13001351,,"Hraunsholtsbraut",,64.085576,-21.950153,,,0,,,,
13001352,,"Brekkuás",,64.086953,-21.941986,,,0,,,,
13001353,,"Birkiás",,64.088124,-21.940319,,,0,,,,
13001354,,"Arnarás",,64.090879,-21.942775,,,0,,,,
13001355,,"Sjálandsskóli",,64.092082,-21.936259,,,0,,,,
13001356,,"Sjálandsskóli",,64.092176,-21.93456,,,0,,,,
13001361,,"Kauptún",,64.074007,-21.914028,,,0,,,,
13001362,,"Nónhæð",,64.096512,-21.894143,,,0,,,,
13001504,,"Ásar",,64.086284,-21.937748,,,0,,,,
13001506,,"Hegranes",,64.095163,-21.922373,,,0,,,,
13001507,,"Arnarneshæð",,64.099366,-21.914992,,,0,,,,
13001523,,"Hegranes",,64.096185,-21.921988,,,0,,,,
13001525,,"Ásar",,64.086355,-21.938269,,,0,,,,
13001584,,"Garðahraun",,64.077452,-21.92963,,,0,,,,
13001586,,"Vífilsstaðir",,64.082286,-21.890105,,,0,,,,
13001587,,"Vífilsstaðir",,64.083042,-21.896583,,,0,,,,
13001588,,"Ásgarður B",,64.0902770354474,-21.9294653094709,,,0,,,,
13001589,,"Ásgarður C",,64.0901120054328,-21.9308091387264,,,0,,,,
13001590,,"Urriðaholtsstræti",,64.0735401248068,-21.9028267489091,,,0,,,,
13001591,,"Urriðaholtsskóli",,64.0684342822155,-21.8987324297482,,,0,,,,
13001592,,"Holtsvegur",,64.0689895586691,-21.9042058920442,,,0,,,,
13001593,,"Náttúrufræðistofnun Íslands",,64.073927608902,-21.907433737127,,,0,,,,
13001594,,"Íþróttahúsið Miðgarður",,64.0862407280822,-21.8880968642223,,,0,,,,
14001500,,"Fjörður",,64.06776220175486,-21.95752942212486,,,0,,,,
14001501,,"Hellisgerði",,64.072042,-21.95451,,,0,,,,
14001502,,"Hraunbrún",,64.075941,-21.951317,,,0,,,,
14001503,,"Norðurbær",,64.079737,-21.948809,,,0,,,,
14001504,,"Sundhöll Hafnarfjarðar",,64.072402,-21.966206,,,0,,,,
14001506,,"Skjólvangur",,64.077295,-21.965835,,,0,,,,
14001512,,"Hjallabraut",,64.078802,-21.954223,,,0,,,,
14001514,,"Iðnskólinn",,64.075418,-21.94595,,,0,,,,
14001515,,"Kaplakriki",,64.0766171163806,-21.9376036338494,,,0,,,,
14001520,,"Lækjarskóli",,64.0670160143399,-21.93988787921,,,0,,,,
14001523,,"Kaldárselsvegur",,64.0587240755895,-21.9360584149224,,,0,,,,
14001525,,"Goðatorg",,64.057963,-21.949083,,,0,,,,
14001526,,"Norðurbær",,64.079085,-21.94997,,,0,,,,
14001527,,"Hraunbrún",,64.074785,-21.952547,,,0,,,,
14001528,,"Hellisgerði",,64.071812,-21.955183,,,0,,,,
14001535,,"Víðivangur",,64.078842,-21.963587,,,0,,,,
14001536,,"Miðvangur",,64.07927,-21.958053,,,0,,,,
14001538,,"Mávahraun",,64.074665,-21.942402,,,0,,,,
14001539,,"Álfaskeið",,64.071306,-21.941305,,,0,,,,
14001540,,"Sólvangur",,64.068839,-21.939605,,,0,,,,
14001541,,"Flensborg",,64.064381,-21.947992,,,0,,,,
14001542,,"Flensborg",,64.064357,-21.948489,,,0,,,,
14001543,,"St. Jósefsspítali",,64.062707,-21.953896,,,0,,,,
14001544,,"Suðurbæjarlaug",,64.060473,-21.962542,,,0,,,,
14001545,,"Íshús Hafnarfjarðar",,64.062054,-21.961625,,,0,,,,
14001546,,"Víkingaþorpið",,64.065841,-21.956042,,,0,,,,
14001547,,"Ásvallalaug C",,64.052061,-21.974783,,,0,14001698,,,
14001551,,"Miðvangur",,64.079562,-21.958359,,,0,,,,
14001552,,"Víðivangur",,64.079396,-21.962947,,,0,,,,
14001561,,"Lækjargata",,64.067288,-21.947194,,,0,,,,
14001567,,"Akurholt",,64.055659,-21.979984,,,0,,,,
14001568,,"Bæjarholt",,64.05701,-21.982707,,,0,,,,
14001580,,"St. Jósefsspítali",,64.062611,-21.953708,,,0,,,,
14001583,,"Sólvangur",,64.0689,-21.939511,,,0,,,,
14001587,,"Suðurbæjarlaug",,64.060403,-21.962432,,,0,,,,
14001588,,"Hlíðarberg",,64.066405,-21.935842,,,0,,,,
14001589,,"Birkihlíð",,64.062642,-21.93457,,,0,,,,
14001596,,"Hlíðarberg",,64.067181,-21.936016,,,0,,,,
14001597,,"Lækjargata",,64.067353,-21.948527,,,0,,,,
14001600,,"Víkingaþorpið",,64.065194,-21.956773,,,0,,,,
14001601,,"Íshús Hafnarfjarðar",,64.062178,-21.96172,,,0,,,,
14001602,,"Kirkjuvellir",,64.050653,-21.982217,,,0,,,,
14001603,,"Daggarvellir",,64.048205,-21.980835,,,0,,,,
14001604,,"Hraunvallaskóli",,64.045543255643,-21.979178128346,,,0,,,,
14001605,,"Haukahús",,64.053245,-21.971125,,,0,,,,
14001607,,"Ásland I",,64.056631,-21.957028,,,0,,,,
14001608,,"Ásland II",,64.055725,-21.945865,,,0,,,,
14001609,,"Ásland I",,64.056765,-21.956984,,,0,,,,
14001610,,"Ástjörn",,64.054939,-21.965701,,,0,,,,
14001611,,"Óla Run tún",,64.057241,-21.965128,,,0,,,,
14001612,,"Haukahús",,64.053334,-21.971691,,,0,,,,
14001613,,"Hraunvallaskóli",,64.045546,-21.979055,,,0,,,,
14001614,,"Daggarvellir",,64.048361,-21.980808,,,0,,,,
14001615,,"Kirkjuvellir",,64.050623,-21.981941,,,0,,,,
14001616,,"Ásvallalaug B",,64.052789,-21.975244,,,0,14001698,,,
14001617,,"Kirkjutorg",,64.051702,-21.980002,,,0,,,,
14001618,,"Kirkjutorg",,64.051711,-21.979893,,,0,,,,
14001619,,"Ásvallalaug A",,64.05275,-21.974952,,,0,14001698,,,
14001620,,"Óla Run tún",,64.057287,-21.965357,,,0,,,,
14001626,,"Grænakinn",,64.066051,-21.944889,,,0,,,,
14001627,,"Álfaskeið",,64.071382,-21.941172,,,0,,,,
14001634,,"Grænakinn",,64.066075,-21.944603999999998,,,0,,,,
14001638,,"Hnoðravellir",,64.043228,-21.96752,,,0,,,,
14001639,,"Glitvellir",,64.042419,-21.975853999999998,,,0,,,,
14001640,,"Hvannavellir",,64.043017,-21.97781,,,0,,,,
14001641,,"Flatahraun",,64.075742,-21.941716,,,0,,,,
14001646,,"Flatahraun",,64.075714,-21.943929,,,0,,,,
14001647,,"Hvannavellir",,64.043003,-21.977966,,,0,,,,
14001648,,"Glitvellir",,64.04234,-21.97579,,,0,,,,
14001649,,"Hnoðravellir",,64.043163,-21.967206,,,0,,,,
14001650,,"Brekkutröð",,64.060387,-21.978211,,,0,,,,
14001653,,"Brekkutröð",,64.060473,-21.978384,,,0,,,,
14001660,,"Akurvellir",,64.049266,-21.983866,,,0,,,,
14001661,,"Akurvellir",,64.049251,-21.983721,,,0,,,,
14001663,,"Kaplakriki",,64.0769446527884,-21.9374269861653,,,0,,,,
14001665,,"Skjólvangur",,64.077027,-21.966447,,,0,,,,
14001666,,"Sundhöll Hafnarfjarðar",,64.072377,-21.966695,,,0,,,,
14001667,,"Norðurbakki",,64.069827,-21.962006,,,0,,,,
14001668,,"Norðurbakki",,64.069956,-21.96178,,,0,,,,
14001669,,"Lækjargata",,64.067258,-21.948475,,,0,,,,
14001672,,"Fagrahlíð",,64.059575,-21.929398,,,0,,,,
14001673,,"Lækjarskóli",,64.066839,-21.9418,,,0,,,,
14001674,,"Ásland III",,64.05701,-21.932122,,,0,,,,
14001675,,"Ásland III",,64.056949,-21.932365,,,0,,,,
14001676,,"Kaldárselsvegur",,64.05917,-21.937516,,,0,,,,
14001677,,"Goðatorg",,64.057846,-21.948962,,,0,,,,
14001678,,"Skipalón",,64.062015,-21.972,,,0,,,,
14001679,,"Skipalón",,64.062195,-21.972034,,,0,,,,
14001680,,"Álfholt",,64.05656,-21.978164,,,0,,,,
14001681,,"Miklaholt",,64.058947,-21.988155,,,0,,,,
14001682,,"Fagrahlíð",,64.059652,-21.929459,,,0,,,,
14001684,,"Birkihlíð",,64.062704,-21.934502,,,0,,,,
14001685,,"Setbergsskóli",,64.065152,-21.93409,,,0,,,,
14001686,,"Bátaskýlin við Lónsbraut",,64.059424,-21.983909,,,0,,,,
14001687,,"Ásvallalaug D",,64.052513,-21.973977,,,0,14001698,,,
